sex,age,address,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,extra-curricular activities,health,absences,Test1,Test2,Final Exam
M,19,R,3,2,at_home,services,other,1,1,0,no,5,0,55,50,50
F,18,U,2,2,at_home,other,mother,4,2,0,yes,2,2,50,45,50
F,17,R,2,4,at_home,other,father,1,3,0,no,5,0,75,75,75
M,18,U,2,2,other,other,mother,1,1,0,no,5,6,75,70,75
F,18,U,3,3,services,services,mother,1,2,0,yes,4,8,50,55,60
F,18,U,2,2,other,other,other,1,2,0,yes,2,0,50,45,60
F,18,R,2,2,at_home,other,mother,2,4,0,yes,4,6,70,65,70
F,17,U,3,4,services,other,mother,1,3,0,no,5,8,55,65,70
F,17,U,3,2,other,other,mother,1,2,0,no,2,0,60,65,75
F,18,U,3,3,services,services,mother,1,4,0,no,1,4,70,70,75
F,17,R,3,2,other,other,mother,1,2,0,no,2,0,70,70,80
M,18,U,4,4,teacher,services,father,1,2,0,yes,2,0,60,60,65
M,18,U,3,4,services,other,mother,1,2,0,yes,5,6,80,80,85
F,17,U,2,2,at_home,at_home,father,1,2,0,no,4,18,50,60,70
F,18,U,2,3,at_home,other,mother,1,3,0,no,3,0,55,60,70
F,18,U,3,2,other,services,mother,1,3,0,no,1,4,70,80,85
M,18,R,4,3,teacher,services,mother,1,3,0,no,4,4,75,70,85
M,18,U,4,3,teacher,other,mother,1,3,0,no,5,0,70,65,70
F,17,U,4,3,health,other,mother,1,3,0,yes,4,0,55,60,65
F,17,U,2,1,services,other,mother,2,2,0,yes,1,10,60,75,75
F,17,U,2,1,services,other,mother,1,2,0,yes,4,4,60,80,80
F,19,U,2,3,at_home,other,other,2,1,1,no,5,16,50,55,55
F,17,U,3,1,other,at_home,mother,1,1,1,no,3,6,50,65,65
F,21,U,4,4,other,other,other,1,3,2,yes,5,0,45,60,60
M,18,U,2,2,services,services,mother,1,2,0,yes,3,11,45,55,60
M,18,U,3,4,other,other,other,1,2,0,yes,2,9,65,70,75
F,17,U,2,2,services,services,mother,1,2,0,yes,4,0,65,85,85
M,17,U,4,4,health,other,mother,1,3,0,no,4,2,60,75,75
F,18,U,4,2,teacher,other,mother,1,2,0,yes,3,0,70,85,85
M,21,R,1,1,at_home,other,other,2,2,2,yes,4,21,45,50,50
F,20,R,1,1,other,other,other,2,3,0,no,3,8,55,75,75
F,19,U,4,4,teacher,other,other,1,1,1,no,5,5,45,50,55
M,17,U,3,2,other,other,mother,1,2,0,no,5,10,80,90,90
F,18,U,3,2,at_home,other,father,1,3,0,no,2,5,70,85,85
M,18,R,2,3,other,services,father,1,1,0,no,4,13,65,70,70
M,19,U,2,1,other,other,mother,1,1,0,no,4,10,35,55,55
F,18,U,2,2,services,other,mother,2,2,0,no,4,10,70,85,85
F,20,U,1,0,other,other,mother,2,1,1,no,5,5,40,50,50
F,18,U,3,2,services,other,mother,1,2,0,yes,1,4,50,65,65
F,16,U,1,3,at_home,other,father,2,1,0,no,5,11,50,55,55
F,16,R,2,2,other,other,mother,2,2,0,yes,5,0,60,60,60
F,15,R,1,1,at_home,services,mother,1,1,1,no,2,6,50,50,50
F,15,R,3,3,at_home,other,mother,2,1,0,no,5,4,50,50,55
F,16,R,2,3,at_home,services,mother,2,2,0,no,5,0,80,85,85
F,15,R,2,1,at_home,other,mother,2,1,0,no,1,0,30,40,45
M,16,R,4,4,at_home,other,mother,1,2,0,no,2,5,50,55,55
M,16,U,1,2,other,other,mother,1,3,0,no,5,0,50,55,55
F,17,R,3,2,at_home,other,father,1,2,1,no,5,0,50,50,50
F,17,R,1,1,other,other,father,1,1,1,no,5,0,30,30,35
F,15,R,4,4,teacher,other,mother,2,1,0,no,5,0,65,70,70
F,16,U,2,2,at_home,other,mother,2,4,0,yes,1,4,50,45,55
F,15,R,1,1,at_home,services,father,2,2,0,no,4,0,50,50,50
F,15,R,1,1,other,services,mother,2,1,1,no,2,4,30,35,40
F,16,R,0,2,other,other,mother,2,1,0,yes,2,0,60,55,60
F,17,R,2,3,other,other,mother,2,1,0,no,3,2,50,55,60
F,15,R,3,3,other,services,father,2,1,0,no,4,0,70,80,80
M,16,U,1,1,at_home,services,mother,2,2,0,yes,3,0,35,0,0
M,17,U,1,1,other,other,mother,1,2,0,no,5,4,40,45,45
M,15,R,4,1,health,services,father,1,2,0,yes,2,0,60,65,70
M,15,R,4,1,health,services,father,1,2,0,yes,2,7,35,45,40
M,16,R,3,4,other,health,mother,3,2,0,no,5,4,45,50,55
M,15,R,1,1,other,other,mother,4,2,0,yes,4,8,35,45,45
M,15,U,3,3,at_home,at_home,father,1,2,0,yes,5,0,55,55,55
M,17,R,2,1,other,other,mother,3,1,0,yes,3,8,40,50,45
F,16,R,4,4,teacher,teacher,mother,2,3,0,yes,4,6,80,80,85
F,15,R,1,2,other,services,mother,2,1,0,no,1,3,55,65,65
F,16,R,2,3,other,services,mother,3,2,0,no,1,2,75,75,75
M,16,R,1,2,other,other,father,2,2,0,no,5,0,50,55,55
F,16,R,2,2,other,other,mother,3,2,0,no,4,4,45,50,55
F,16,U,1,2,other,services,mother,1,3,1,no,4,0,50,40,40
F,16,U,1,2,other,services,mother,1,3,1,no,4,3,45,40,40
F,15,U,2,1,at_home,other,mother,1,2,0,no,2,0,45,50,45
F,16,U,1,1,at_home,other,father,1,2,0,no,2,0,65,70,75
M,17,R,1,2,at_home,services,mother,1,1,0,yes,3,4,50,55,55
F,16,R,1,1,other,other,father,4,4,0,no,1,0,65,50,65
F,16,R,1,1,at_home,other,father,4,3,0,no,5,2,50,45,50
F,15,R,1,1,at_home,other,father,2,2,0,yes,2,1,55,50,55
F,16,R,1,1,at_home,other,mother,2,1,0,yes,2,0,65,60,70
F,15,R,1,1,at_home,at_home,father,3,2,0,no,2,0,65,70,70
F,15,R,2,2,other,other,father,1,3,0,no,5,2,70,55,60
M,16,R,1,1,at_home,other,father,2,1,0,yes,5,6,55,55,55
F,18,U,1,2,other,other,father,1,2,1,yes,5,9,45,40,40
M,15,U,3,1,other,services,mother,2,1,0,no,4,0,50,45,55
F,16,R,2,2,other,services,father,3,2,0,yes,2,1,70,65,70
M,15,U,2,2,health,other,mother,3,1,0,no,4,1,65,60,65
M,16,U,4,4,other,teacher,father,1,2,0,yes,3,0,65,60,65
F,15,R,3,3,services,other,mother,1,2,0,no,1,4,65,60,60
F,16,R,2,2,at_home,other,mother,2,2,1,yes,5,2,60,55,60
F,16,R,2,2,other,other,father,3,1,0,yes,4,0,70,70,80
M,16,U,2,1,at_home,services,mother,2,1,0,yes,4,4,50,40,50
M,15,R,1,3,at_home,other,father,3,1,0,yes,3,2,50,55,55
F,15,U,2,2,other,services,mother,2,3,0,yes,4,0,60,65,70
F,16,R,2,1,other,other,mother,1,1,0,no,5,2,50,40,40
M,15,U,3,3,services,services,father,2,1,0,yes,3,11,60,50,55
F,16,R,1,1,at_home,other,father,2,2,3,no,1,0,35,35,40
F,17,U,2,2,other,at_home,mother,1,1,0,yes,5,4,45,45,50
F,19,U,2,3,at_home,services,other,1,1,1,no,2,0,45,45,50
F,17,R,2,1,at_home,other,mother,3,1,0,yes,3,2,45,50,55
F,15,R,1,1,at_home,other,mother,2,1,0,no,4,0,45,50,45
F,16,R,2,2,other,other,father,3,2,0,no,1,1,45,50,55
F,16,U,2,2,other,other,mother,1,1,0,no,1,6,35,35,40
F,17,R,2,2,at_home,other,mother,2,2,0,no,4,0,55,50,55
F,16,U,2,2,other,services,father,1,1,1,yes,3,1,45,50,50
F,18,R,3,2,other,other,other,2,3,2,no,2,6,35,45,50
F,19,U,1,1,at_home,services,mother,1,3,1,yes,3,6,35,45,45
M,18,R,1,1,other,other,mother,2,1,1,yes,4,0,40,45,50
F,18,R,1,1,at_home,at_home,mother,2,1,1,no,2,4,45,55,50
F,19,U,1,1,other,other,other,2,2,1,no,1,12,35,40,45
F,16,R,2,2,health,other,mother,1,2,0,no,3,2,40,50,50
F,17,U,0,1,other,at_home,father,2,1,0,yes,5,5,45,45,50
F,16,R,1,2,at_home,other,mother,1,2,0,yes,3,0,40,45,45
F,16,U,3,3,other,other,mother,1,1,0,yes,4,0,70,65,65
F,16,R,1,1,services,services,mother,1,1,0,yes,4,2,70,70,70
M,17,U,3,3,services,at_home,mother,2,4,1,yes,5,0,50,55,50
F,16,U,2,1,other,services,mother,1,2,0,yes,1,0,70,65,70
F,16,U,2,2,services,other,mother,1,1,0,yes,5,0,85,80,80
M,17,U,1,2,other,other,father,1,1,1,yes,1,12,30,35,35
M,16,U,4,3,other,other,father,1,1,0,yes,5,8,70,60,65
M,17,R,2,2,services,services,mother,3,4,1,no,3,2,50,40,45
F,16,U,1,1,other,other,other,1,4,0,yes,5,0,70,70,70
F,19,U,2,2,other,other,mother,1,3,0,no,1,0,60,65,65
F,17,R,1,1,at_home,other,mother,2,1,0,yes,5,0,55,55,55
F,20,U,3,3,at_home,services,mother,2,2,1,yes,3,8,55,45,50
F,17,U,1,1,other,services,father,1,3,0,no,3,0,55,55,50
M,17,R,2,2,other,other,mother,3,1,1,no,5,0,50,45,45
F,16,R,1,1,at_home,other,father,3,2,0,no,1,0,80,85,90
F,17,R,2,2,other,other,mother,2,2,0,yes,1,0,75,85,85
F,17,U,1,0,other,other,mother,2,2,0,no,4,1,55,45,50
F,18,R,1,1,at_home,other,mother,1,2,1,no,5,9,35,35,35
F,16,U,3,1,other,other,mother,1,1,0,yes,1,0,40,30,40
F,16,U,3,2,services,at_home,mother,1,1,0,no,3,2,35,30,35
F,18,U,1,1,other,at_home,mother,2,2,0,no,3,8,45,40,50
F,16,R,4,4,health,teacher,father,1,2,0,yes,2,0,70,80,80
F,16,R,1,2,other,other,mother,2,1,0,yes,2,0,70,70,75
F,18,U,2,4,other,services,father,1,2,1,no,1,8,40,25,40
M,16,R,2,1,other,services,mother,2,2,0,yes,2,0,40,35,0
F,16,U,1,1,at_home,other,mother,3,2,0,no,5,6,30,40,40
F,16,R,2,3,at_home,services,mother,2,2,0,yes,2,0,40,50,50
F,16,U,4,4,health,health,mother,1,2,0,no,3,4,40,40,40
M,18,U,4,4,at_home,health,mother,1,4,0,yes,5,2,25,30,30
F,16,R,3,4,at_home,other,mother,3,2,0,no,2,2,35,45,40
M,17,U,4,4,other,services,mother,1,3,0,no,5,0,75,70,80
F,17,R,4,1,other,other,mother,1,1,0,no,5,1,65,70,70
M,16,U,2,2,services,services,mother,4,3,0,no,3,0,50,45,50
F,17,R,2,2,at_home,other,mother,1,1,0,no,5,5,45,45,45
F,16,U,4,4,services,services,father,2,1,0,no,5,1,55,55,55
M,17,U,3,3,services,services,mother,1,1,0,yes,3,8,35,50,45
M,17,U,1,1,at_home,services,mother,3,2,0,no,1,0,50,50,50
M,16,U,2,1,health,services,mother,2,2,0,no,5,2,45,35,40
F,16,U,2,1,other,services,mother,1,2,0,no,3,0,70,75,80
M,16,U,4,4,teacher,health,father,1,1,0,no,5,0,55,60,60
M,15,R,1,2,other,services,mother,3,2,0,yes,5,11,45,55,50
M,15,U,2,2,other,other,mother,3,4,0,yes,5,8,65,70,70
M,15,U,2,1,services,services,mother,1,1,0,yes,5,11,60,65,60
F,16,R,2,2,other,other,mother,1,3,0,no,5,2,55,55,55
F,16,U,4,1,other,other,mother,2,2,0,yes,1,8,45,50,50
F,17,U,3,2,at_home,other,mother,2,1,0,no,1,5,45,55,55
F,17,R,2,2,other,other,mother,2,2,0,no,5,0,55,45,55
F,16,U,4,4,teacher,services,mother,2,3,0,no,5,1,50,55,60
M,17,R,4,4,health,other,father,3,1,3,yes,5,2,45,45,40
M,17,R,1,3,other,other,father,2,1,0,yes,5,2,60,55,60
M,17,U,3,4,services,other,mother,1,2,1,yes,5,8,40,45,40
F,17,U,4,4,health,health,father,1,2,0,no,5,0,65,75,80
M,16,R,4,1,other,at_home,father,1,1,0,no,2,0,50,55,55
F,17,U,1,1,at_home,at_home,mother,1,2,0,yes,3,2,55,50,55
F,17,R,4,2,other,other,mother,2,2,0,no,5,0,85,90,90
M,16,U,2,2,other,services,father,2,2,0,no,5,0,60,65,65
M,17,U,3,2,other,other,father,2,2,0,no,1,0,65,70,65
M,19,U,1,1,other,other,mother,1,2,2,yes,4,2,45,45,50
M,17,U,1,0,other,other,mother,1,1,0,no,5,4,55,55,60
F,17,R,1,1,at_home,at_home,father,2,1,0,yes,4,3,50,55,50
F,16,R,1,2,other,other,father,1,3,0,no,3,5,65,70,65
M,16,R,1,2,other,at_home,mother,1,1,0,no,5,4,45,50,55
F,17,R,3,1,other,other,mother,2,2,3,yes,5,2,35,45,50
M,17,R,2,2,other,other,mother,2,1,0,yes,5,0,40,65,50
M,18,R,1,0,at_home,at_home,other,3,1,1,no,4,0,60,60,65
M,17,R,1,1,other,services,mother,2,1,0,yes,2,0,50,45,50
M,18,U,1,1,at_home,at_home,mother,2,2,0,yes,5,6,50,45,50
F,16,R,2,2,other,services,father,1,2,0,yes,1,0,55,65,60
M,17,U,2,2,other,other,mother,1,1,1,yes,5,0,35,0,0
M,16,R,3,2,services,other,father,2,1,0,no,5,2,55,45,50
M,16,R,1,1,at_home,other,mother,2,1,0,yes,5,0,50,50,45
M,18,R,1,1,services,other,other,2,1,1,no,5,2,45,35,45
M,18,R,3,2,services,other,mother,1,1,1,no,5,0,20,0,0
M,19,U,3,2,at_home,services,mother,2,1,3,yes,3,4,30,55,45
M,18,U,3,3,at_home,at_home,mother,1,2,2,yes,3,9,20,40,40
M,16,R,2,2,services,services,mother,2,1,0,yes,4,6,35,40,40
M,19,U,2,1,at_home,other,other,2,1,3,yes,5,4,40,45,45
F,16,U,3,2,services,at_home,mother,2,2,2,yes,1,8,25,25,35
F,17,U,1,1,other,at_home,mother,1,1,0,yes,5,9,35,45,50
M,20,R,1,1,other,other,other,2,1,1,no,4,12,40,55,50
F,18,R,4,3,services,services,mother,1,1,0,no,2,8,50,55,50
M,18,R,3,2,other,other,mother,2,1,0,no,5,8,45,50,55
M,19,R,1,1,other,services,other,3,2,1,no,2,8,50,45,55
M,17,U,3,3,health,other,mother,2,2,1,no,3,4,40,45,50
M,18,U,1,3,at_home,services,mother,1,1,0,no,3,0,45,50,45
M,19,R,1,1,other,other,other,3,1,1,no,5,4,40,45,50
F,18,U,1,2,at_home,other,mother,2,2,2,no,5,2,30,40,40
F,19,U,1,1,at_home,other,mother,1,1,0,no,5,0,30,40,35
F,18,R,2,2,other,other,mother,2,1,1,no,3,0,40,30,0
F,17,R,0,0,at_home,other,mother,2,1,0,no,5,0,50,55,55
F,17,R,3,1,other,at_home,other,2,3,0,no,3,5,40,35,40
F,17,U,4,2,teacher,services,mother,1,2,0,yes,5,0,40,40,0
F,18,R,2,2,services,services,mother,1,2,1,yes,4,3,35,30,40
F,17,U,4,1,health,at_home,mother,1,1,0,no,5,0,40,50,45
F,17,U,1,2,at_home,other,father,1,1,0,no,3,0,35,50,50
F,18,U,1,1,other,other,mother,3,2,2,yes,5,3,35,40,35
F,18,U,2,2,services,at_home,father,2,2,0,yes,1,2,60,65,70
F,17,U,3,3,services,services,mother,2,1,0,no,4,0,55,60,65
F,18,U,1,2,at_home,other,mother,2,2,0,no,4,0,60,65,70
F,18,U,4,4,teacher,teacher,mother,2,2,0,yes,1,0,90,90,90
M,18,U,4,4,services,other,mother,1,1,0,yes,5,3,85,85,85
F,17,U,4,2,other,other,mother,2,2,0,no,4,0,85,90,90
F,18,R,2,2,at_home,other,mother,3,2,1,yes,4,0,45,0,0
M,18,U,1,2,at_home,services,mother,2,1,0,no,1,8,50,55,55
M,18,R,4,4,at_home,services,mother,3,1,0,yes,1,5,60,65,70
M,17,R,1,1,other,services,father,3,1,0,no,4,4,60,65,70
F,18,U,2,2,other,other,mother,2,2,0,no,2,4,40,40,50
F,18,U,2,2,services,services,father,2,3,0,no,3,0,55,60,65
F,18,R,4,2,teacher,other,mother,1,2,0,yes,5,0,25,0,0
F,18,U,1,1,at_home,services,mother,3,2,1,no,2,2,45,50,50
F,19,U,1,1,at_home,services,father,2,1,1,no,2,0,25,0,0
F,17,U,4,2,teacher,other,father,2,4,0,no,5,0,90,90,90
F,17,R,2,1,services,other,mother,2,2,0,yes,2,5,55,55,60
F,18,U,1,1,at_home,services,mother,1,2,0,no,3,2,40,50,55
F,18,U,1,2,at_home,at_home,father,2,2,0,no,4,0,55,55,60
F,19,R,1,1,at_home,at_home,other,2,2,3,yes,1,0,40,0,0
F,18,R,2,2,services,other,mother,2,3,0,no,4,5,70,70,75
M,17,R,4,3,services,other,mother,2,2,1,yes,2,4,50,55,55
F,18,U,3,3,services,services,father,1,2,0,no,5,0,50,50,50
F,17,R,4,4,teacher,services,father,2,2,0,yes,5,2,60,60,60
F,17,U,3,2,services,other,mother,2,2,0,no,5,0,75,70,75
M,18,U,1,1,other,services,father,2,1,0,no,3,2,70,65,70
F,18,U,1,1,at_home,services,father,2,3,0,no,4,0,95,85,90
F,18,R,1,2,at_home,other,mother,3,2,0,no,5,0,80,75,75
F,18,U,3,3,services,services,mother,2,2,0,no,3,6,65,60,65
F,17,U,4,4,at_home,at_home,mother,1,2,0,yes,1,4,75,70,75
F,17,R,1,2,other,services,father,2,2,0,no,3,0,65,65,65
M,18,R,1,3,at_home,other,mother,2,2,0,no,3,0,40,50,45
M,18,U,4,4,teacher,services,mother,2,3,0,no,5,0,75,80,80
F,17,R,1,1,other,services,mother,3,1,1,no,1,0,40,40,45
F,18,U,2,3,at_home,services,father,2,1,0,no,4,0,50,50,50
F,18,R,4,4,other,teacher,father,3,2,0,no,5,0,35,25,0
M,18,R,1,2,at_home,services,father,3,1,0,yes,3,3,45,50,50
F,17,U,2,2,other,at_home,mother,1,3,0,yes,3,8,50,55,60
F,17,R,1,2,other,other,mother,1,1,0,yes,1,4,35,40,45
F,18,R,4,4,other,other,mother,2,3,0,no,1,0,75,85,85
F,18,R,1,1,other,other,mother,4,3,0,no,4,4,50,55,60
F,19,R,1,1,at_home,other,other,2,2,1,no,3,4,35,40,45
F,18,R,4,4,teacher,services,mother,1,2,0,yes,2,1,65,70,70
F,18,U,3,3,other,other,mother,1,2,0,no,1,1,80,80,80
F,17,R,3,1,at_home,other,mother,1,2,0,yes,1,10,40,45,45
M,18,U,4,4,teacher,teacher,father,1,2,0,yes,2,4,85,90,95
M,18,R,2,1,other,other,mother,2,1,0,yes,5,0,35,35,0
M,17,U,2,3,other,services,father,2,2,0,yes,3,4,70,75,80
M,19,R,1,1,other,services,mother,2,1,1,no,5,0,25,40,0
M,18,R,4,2,other,other,father,2,1,1,no,3,0,35,35,0
F,18,R,2,2,at_home,other,mother,2,3,0,no,4,0,70,85,75
F,17,U,4,3,teacher,other,mother,2,2,0,no,1,0,30,45,55
F,18,R,4,4,teacher,at_home,mother,3,1,0,yes,5,4,35,45,50
F,19,R,2,3,services,other,mother,1,3,1,yes,5,4,50,55,50
F,18,U,3,1,teacher,services,mother,1,2,0,no,1,4,75,75,80
F,18,U,1,1,other,other,mother,2,2,0,yes,5,6,55,60,45
M,17,U,3,1,services,services,mother,2,1,0,no,2,6,50,50,50
M,18,R,3,2,services,other,mother,3,1,0,no,5,4,50,55,55
